Results from the numerical calculation of the cantilever motion

Input

Parameter	value in SI units
L	0.0002
H	1e-005
w	5e-005
zeta	0.2
psi	0
k	2.5
mT	5e-012
mL	5e-011
eta	10000
k1	100
k2	85
g1	0
g2	0
d1	1e-012
d2	0
f0	0
VACxDV	0
u0	0
epsilon_r	1
LaserPosition	1
Df	10000
TE	0

fStart	250000
fStop	300000
fStep	1000
AdjustDf	0
AdjustQAir	0
AdjustQContact	0
Precision	1e-007
IntegrationSteps	10000

AdjustParametersFromExperiment	1
ResonanceCurve	1
ContactStiffnessVariation	5
LeverShape	1

Input_Experimental

Parameter	value in SI units
ffree1	50000
Qfree1	100
ffree2	335000
Qfree2	350
fcr	270000
Qcr	50
csr	0.85
Min_k1	1
Max_k1	10000

Adjusted parameters

Parameter	value in SI units
mT	9.34129e-012
mL	6.63322e-011
eta	3136.46
k1	260.44
k2	221.374
g1	1.43827e-005
g2	1.22253e-005

Amplitude and phase as a function of frequency

f	A	phi
419.441	356.525	2.49539e-005	2.12108e-005	1.09898e-008	-3.12244	281837	50	1.43609	0.919435	3.40139	2.0472	1.38981

Lever shape at the resonance frequency

x	Az0	phiz0	Az1	phiz1	Shape
0	0	-0	0	-0	-0
2e-006	3.3476e-014	1.68852	3.32583e-008	1.68851	3.32443e-014
4e-006	1.32163e-013	1.68851	6.52109e-008	1.68849	1.31248e-013
6e-006	2.93449e-013	1.68849	9.58578e-008	1.68847	2.91419e-013
8e-006	5.14724e-013	1.68848	1.25199e-007	1.68845	5.11164e-013
1e-005	7.93377e-013	1.68846	1.53236e-007	1.68843	7.8789e-013
1.2e-005	1.1268e-012	1.68845	1.79968e-007	1.6884	1.11901e-012
1.4e-005	1.51238e-012	1.68844	2.05398e-007	1.68838	1.50193e-012
1.6e-005	1.94752e-012	1.68842	2.29525e-007	1.68835	1.93406e-012
1.8e-005	2.42962e-012	1.6884	2.52353e-007	1.68833	2.41283e-012
2e-005	2.95607e-012	1.68839	2.73884e-007	1.6883	2.93565e-012
2.2e-005	3.52429e-012	1.68837	2.94121e-007	1.68827	3.49996e-012
2.4e-005	4.13169e-012	1.68835	3.13068e-007	1.68824	4.10318e-012
2.6e-005	4.7757e-012	1.68834	3.30729e-007	1.68821	4.74275e-012
2.8e-005	5.45376e-012	1.68832	3.47109e-007	1.68817	5.41614e-012
3e-005	6.16329e-012	1.6883	3.62214e-007	1.68814	6.12079e-012
3.2e-005	6.90176e-012	1.68828	3.7605e-007	1.6881	6.85419e-012
3.4e-005	7.66665e-012	1.68826	3.88626e-007	1.68806	7.61382e-012
3.6e-005	8.45543e-012	1.68824	3.99949e-007	1.68802	8.39719e-012
3.8e-005	9.26562e-012	1.68822	4.1003e-007	1.68797	9.20182e-012
4e-005	1.00947e-011	1.6882	4.18877e-007	1.68793	1.00252e-011
4.2e-005	1.09403e-011	1.68817	4.26502e-007	1.68788	1.0865e-011
4.4e-005	1.17999e-011	1.68815	4.32917e-007	1.68783	1.17188e-011
4.6e-005	1.26712e-011	1.68813	4.38135e-007	1.68777	1.25841e-011
4.8e-005	1.35517e-011	1.6881	4.4217e-007	1.68771	1.34585e-011
5e-005	1.44391e-011	1.68808	4.45037e-007	1.68765	1.43399e-011
5.2e-005	1.53311e-011	1.68805	4.46753e-007	1.68759	1.52258e-011
5.4e-005	1.62253e-011	1.68802	4.47333e-007	1.68752	1.6114e-011
5.6e-005	1.71197e-011	1.68799	4.46797e-007	1.68744	1.70022e-011
5.8e-005	1.80118e-011	1.68796	4.45163e-007	1.68736	1.78883e-011
6e-005	1.88996e-011	1.68793	4.42452e-007	1.68728	1.87701e-011
6.2e-005	1.97809e-011	1.6879	4.38684e-007	1.68718	1.96454e-011
6.4e-005	2.06536e-011	1.68787	4.33882e-007	1.68708	2.05123e-011
6.6e-005	2.15158e-011	1.68784	4.28069e-007	1.68698	2.13686e-011
6.8e-005	2.23653e-011	1.6878	4.21269e-007	1.68686	2.22123e-011
7e-005	2.32002e-011	1.68777	4.13508e-007	1.68673	2.30417e-011
7.2e-005	2.40187e-011	1.68773	4.0481e-007	1.6866	2.38546e-011
7.4e-005	2.48188e-011	1.68769	3.95204e-007	1.68645	2.46495e-011
7.6e-005	2.55989e-011	1.68765	3.84717e-007	1.68628	2.54243e-011
7.8e-005	2.63571e-011	1.68761	3.73379e-007	1.6861	2.61775e-011
8e-005	2.70919e-011	1.68756	3.61218e-007	1.6859	2.69074e-011
8.2e-005	2.78015e-011	1.68752	3.48266e-007	1.68568	2.76123e-011
8.4e-005	2.84844e-011	1.68747	3.34554e-007	1.68543	2.82907e-011
8.6e-005	2.91392e-011	1.68742	3.20114e-007	1.68515	2.89412e-011
8.8e-005	2.97644e-011	1.68737	3.04979e-007	1.68483	2.95624e-011
9e-005	3.03587e-011	1.68732	2.89184e-007	1.68447	3.01528e-011
9.2e-005	3.09207e-011	1.68726	2.72762e-007	1.68406	3.07112e-011
9.4e-005	3.14493e-011	1.6872	2.55748e-007	1.68358	3.12365e-011
9.6e-005	3.19433e-011	1.68714	2.38179e-007	1.68302	3.17274e-011
9.8e-005	3.24017e-011	1.68708	2.2009e-007	1.68235	3.21828e-011
0.0001	3.28233e-011	1.68702	2.01519e-007	1.68154	3.26019e-011
0.000102	3.32074e-011	1.68695	1.82502e-007	1.68054	3.29837e-011
0.000104	3.35531e-011	1.68688	1.63079e-007	1.67929	3.33273e-011
0.000106	3.38595e-011	1.6868	1.43286e-007	1.67767	3.36319e-011
0.000108	3.4126e-011	1.68672	1.23164e-007	1.6755	3.38969e-011
0.00011	3.43519e-011	1.68664	1.0275e-007	1.67242	3.41217e-011
0.000112	3.45368e-011	1.68655	8.20857e-008	1.66775	3.43056e-011
0.000114	3.46801e-011	1.68646	6.12114e-008	1.65982	3.44483e-011
0.000116	3.47814e-011	1.68636	4.01717e-008	1.6435	3.45494e-011
0.000118	3.48405e-011	1.68626	1.90333e-008	1.59065	3.46085e-011
0.00012	3.48571e-011	1.68615	3.02211e-009	-0.768005	3.46255e-011
0.000122	3.48311e-011	1.68604	2.3758e-008	-1.37027	3.46001e-011
0.000124	3.47624e-011	1.68592	4.5072e-008	-1.40828	3.45323e-011
0.000126	3.46511e-011	1.68579	6.63834e-008	-1.42185	3.44222e-011
0.000128	3.44971e-011	1.68566	8.76354e-008	-1.42881	3.42698e-011
0.00013	3.43007e-011	1.68552	1.08785e-007	-1.43302	3.40752e-011
0.000132	3.40622e-011	1.68537	1.29791e-007	-1.43584	3.38389e-011
0.000134	3.37818e-011	1.68521	1.50614e-007	-1.43785	3.35609e-011
0.000136	3.346e-011	1.68504	1.71214e-007	-1.43935	3.32419e-011
0.000138	3.30972e-011	1.68486	1.91554e-007	-1.4405	3.28821e-011
0.00014	3.26941e-011	1.68466	2.11594e-007	-1.44142	3.24823e-011
0.000142	3.22512e-011	1.68445	2.31298e-007	-1.44215	3.20431e-011
0.000144	3.17692e-011	1.68423	2.50628e-007	-1.44275	3.1565e-011
0.000146	3.1249e-011	1.68399	2.69547e-007	-1.44325	3.1049e-011
0.000148	3.06914e-011	1.68373	2.88019e-007	-1.44366	3.04959e-011
0.00015	3.00974e-011	1.68346	3.06008e-007	-1.44401	2.99066e-011
0.000152	2.94679e-011	1.68316	3.23481e-007	-1.44429	2.9282e-011
0.000154	2.8804e-011	1.68284	3.40402e-007	-1.44453	2.86234e-011
0.000156	2.81068e-011	1.68249	3.56738e-007	-1.44473	2.79317e-011
0.000158	2.73776e-011	1.68211	3.72458e-007	-1.4449	2.72081e-011
0.00016	2.66175e-011	1.68169	3.87528e-007	-1.44503	2.64541e-011
0.000162	2.58281e-011	1.68124	4.01918e-007	-1.44513	2.56707e-011
0.000164	2.50105e-011	1.68074	4.15598e-007	-1.44521	2.48595e-011
